year,urim,status_code,date,time,mimetype,redirects_to,redirect_type
2020,https://arquivo.pt/wayback/20201221204521/https://www.instagram.com/instagram/,302,12/21/2020,20:45:21,,,login
2020,https://arquivo.pt/wayback/20201222210215/https://www.instagram.com/instagram/,302,12/22/2020,21:02:15,,,login
2020,https://arquivo.pt/wayback/20201223210211/https://www.instagram.com/instagram/,302,12/23/2020,21:02:11,,,login
2020,https://arquivo.pt/wayback/20201224204648/https://www.instagram.com/instagram/,302,12/24/2020,20:46:48,,,login
2020,https://arquivo.pt/wayback/20201225211242/https://www.instagram.com/instagram/,302,12/25/2020,21:12:42,,,login
2020,https://arquivo.pt/wayback/20201226210104/https://www.instagram.com/instagram/,302,12/26/2020,21:01:04,,,login
2020,https://arquivo.pt/wayback/20201227204753/https://www.instagram.com/instagram/,302,12/27/2020,20:47:53,,,login
2020,https://arquivo.pt/wayback/20201228212849/https://www.instagram.com/instagram/,302,12/28/2020,21:28:49,,,login
2020,https://arquivo.pt/wayback/20201229211552/https://www.instagram.com/instagram/,302,12/29/2020,21:15:52,,,login
2020,https://arquivo.pt/wayback/20201230210335/https://www.instagram.com/instagram/,302,12/30/2020,21:03:35,,,login
2021,https://arquivo.pt/wayback/20210109215029/https://www.instagram.com/instagram,301,1/9/2021,21:50:29,,,login
2021,https://arquivo.pt/wayback/20210113114304/https://www.instagram.com/instagram/,302,1/13/2021,11:43:04,,,login
2021,https://arquivo.pt/wayback/20210118034918/https://www.instagram.com/instagram,301,1/18/2021,3:49:18,,,login
2021,https://arquivo.pt/wayback/20210303185846/https://www.instagram.com/instagram/,302,3/3/2021,18:58:46,,,login
2021,https://arquivo.pt/wayback/20210821004504/https://www.instagram.com/Instagram/,302,8/21/2021,0:45:04,,,login
2021,https://arquivo.pt/wayback/20211020233415/https://www.instagram.com/instagram/,302,10/20/2021,23:34:15,,,login
2021,https://arquivo.pt/wayback/20211104183423/https://www.instagram.com/instagram/,302,11/4/2021,18:34:23,,,login
2022,https://arquivo.pt/wayback/20220124104946/https://www.instagram.com/instagram/,302,1/24/2022,10:49:46,,,login
2022,https://arquivo.pt/wayback/20220503091918/http://instagram.com/instagram,301,5/3/2022,9:19:18,text/plain,,login
2022,https://arquivo.pt/wayback/20220503091921/https://instagram.com/instagram,301,5/3/2022,9:19:21,,,login
2022,https://arquivo.pt/wayback/20220504125628/https://www.instagram.com/instagram/,302,5/4/2022,12:56:28,,,login
2022,https://arquivo.pt/wayback/20220908152829/http://instagram.com/instagram,301,9/8/2022,15:28:29,text/plain,,login
2022,https://arquivo.pt/wayback/20220910022501/https://instagram.com/instagram,301,9/10/2022,2:25:01,,,login
2022,https://arquivo.pt/wayback/20220910165030/https://instagram.com/instagram/,302,9/10/2022,16:50:30,,,login
2022,https://arquivo.pt/wayback/20220911095047/https://instagram.com/instagram,301,9/11/2022,9:50:47,,,login
2022,https://arquivo.pt/wayback/20220913044253/https://www.instagram.com/instagram/,429,9/13/2022,4:42:53,,,
2023,https://arquivo.pt/wayback/20230218071727/https://www.instagram.com/instagram,301,2/18/2023,7:17:27,,,login
2023,https://arquivo.pt/wayback/20230218074722/http://instagram.com/instagram,301,2/18/2023,7:47:22,text/plain,,login
2023,https://arquivo.pt/wayback/20230219134215/https://instagram.com/instagram,301,2/19/2023,13:42:15,,,login
2023,https://arquivo.pt/wayback/20230219220135/https://instagram.com/instagram/,302,2/19/2023,22:01:35,,,login
